match_id,team1_champ_kills,team1_baron_kills,team1_drag_kills,team1_herald_kills,team1_tower_kills,team1_inhib_kills,team1_total_gold,team1_total_dmg,team1_win,team2_champ_kills,team2_baron_kills,team2_drag_kills,team2_herald_kills,team2_tower_kills,team2_inhib_kills,team2_total_gold,team2_total_dmg,team2_win
NA1_4505280771,32,1,2,2,10,1,59992,93699,1,25,0,1,0,3,0,53112,80954,0
NA1_4489496899,29,1,2,1,4,0,49829,64452,1,11,0,1,1,0,0,37597,66041,0
NA1_4483233195,5,0,0,1,0,0,23574,27968,0,18,0,1,0,4,0,33602,42138,1
NA1_4490770470,25,1,2,1,4,0,68380,101071,0,38,2,4,1,9,3,78433,137928,1
NA1_4489654376,38,1,2,0,10,1,65940,100616,1,24,0,1,2,4,0,53956,72077,0
NA1_4481044276,25,0,0,1,5,0,38122,38624,1,10,0,1,0,0,0,26561,26696,0
NA1_4470650455,34,0,2,2,9,1,56743,72629,1,26,1,1,0,3,0,53392,65453,0
NA1_4447304305,49,0,4,1,9,3,68939,127883,1,23,2,0,1,5,1,65383,121159,0
NA1_4492114801,12,0,0,0,0,0,32468,40445,0,30,0,1,2,9,2,47088,67842,1
NA1_4444839842,12,0,0,0,0,0,30062,47277,0,23,0,2,1,3,0,38994,53024,1
NA1_4443260017,1,0,0,0,0,0,4354,1342,0,2,0,0,0,0,0,5497,2922,1
NA1_4431729922,33,1,3,1,8,2,53273,65442,1,11,0,0,1,2,0,39407,45525,0
NA1_4447654626,39,2,0,1,3,0,64104,134646,0,46,0,3,1,8,1,67228,125745,1
